"ID"|"Line"|"Link"|"Type"|"Message"|"Code"|"Fix 1"|Fix 2"
00007|61|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java#L61"",""Github"")"|argument|incompatible argument for parameter cmdarray of exec.|Process p = r.exec(args, argsEnv);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):args|NONE
00007|61|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00007.java#L61"",""Github"")"|argument|incompatible argument for parameter envp of exec.|Process p = r.exec(args, argsEnv);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):argsEnv|NONE
00008|57|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java#L57"",""Github"")"|argument|incompatible argument for parameter arg0 of prepareCall.|java.sql.CallableStatement statement = connection.prepareCall(sql);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):sql|NONE
00010|94|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java#L94"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|rememberMe.setPath(request.getRequestURI()); // i.e., set path to JUST this servlet|EP-M:HttpServletRequest:getRequestURI()|NONE
00010|96|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java#L96"",""Github"")"|argument|incompatible argument for parameter arg0 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):cookieName|NONE
00010|96|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00010.java#L96"",""Github"")"|argument|incompatible argument for parameter arg1 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):rememberMeKey|NONE
00016|74|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00016.java#L74"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|cookie.setPath(request.getRequestURI()); // i.e., set path to JUST this servlet|EP-M:HttpServletRequest:getRequestURI()|NONE
00017|63|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00017.java#L63"",""Github"")"|argument|incompatible argument for parameter command of exec.|Process p = r.exec(cmd + param);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):param|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):cmd
00023|78|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java#L78"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|rememberMe.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00023|79|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java#L79"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|rememberMe.setPath(request.getRequestURI()); // i.e., set path to JUST this servlet|EP-M:HttpServletRequest:getRequestURI()|NONE
00023|81|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java#L81"",""Github"")"|argument|incompatible argument for parameter arg0 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):cookieName|NONE
00023|81|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java#L81"",""Github"")"|argument|incompatible argument for parameter arg1 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):rememberMeKey|NONE
00024|54|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00024.java#L54"",""Github"")"|argument|incompatible argument for parameter arg0 of prepareStatement.|sql,|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):sql|NONE
00037|68|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00037.java#L68"",""Github"")"|argument|incompatible argument for parameter arg0 of prepareStatement.|sql,|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):sql|NONE
00042|81|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00042.java#L81"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|rememberMe.setPath(request.getRequestURI()); // i.e., set path to JUST this servlet|EP-M:HttpServletRequest:getRequestURI()|NONE
00042|83|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00042.java#L83"",""Github"")"|argument|incompatible argument for parameter arg0 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):cookieName|NONE
00042|83|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00042.java#L83"",""Github"")"|argument|incompatible argument for parameter arg1 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):rememberMeKey|NONE
00052|55|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00052.java#L55"",""Github"")"|argument|incompatible argument for parameter arg0 of prepareCall.|sql,|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):sql|NONE
00053|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00053|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00054|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00054.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00054|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00054.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00055|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00055|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00056|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00056|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00057|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00057|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00058|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00058.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00058|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00058.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00059|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00059.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00059|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00059.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00060|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00060|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00061|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00061|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00062|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00062.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00062|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00062.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00063|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00063|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00064|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00064|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00065|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00065.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00065|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00065.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00066|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00066|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00066|104|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L104"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|rememberMe.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00066|105|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L105"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|rememberMe.setPath(request.getRequestURI()); // i.e., set path to JUST this servlet|EP-M:HttpServletRequest:getRequestURI()|NONE
00066|107|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L107"",""Github"")"|argument|incompatible argument for parameter arg0 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):cookieName|NONE
00066|107|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L107"",""Github"")"|argument|incompatible argument for parameter arg1 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):rememberMeKey|NONE
00067|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00067|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00067|120|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L120"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|rememberMe.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00067|121|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L121"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|rememberMe.setPath(request.getRequestURI()); // i.e., set path to JUST this servlet|EP-M:HttpServletRequest:getRequestURI()|NONE
00067|123|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L123"",""Github"")"|argument|incompatible argument for parameter arg0 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):cookieName|NONE
00067|123|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L123"",""Github"")"|argument|incompatible argument for parameter arg1 of setAttribute.|request.getSession().setAttribute(cookieName, rememberMeKey);|L:doPost(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse):rememberMeKey|NONE
00068|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|userCookie.setPath(request.getRequestURI());|EP-M:HttpServletRequest:getRequestURI()|NONE
00068|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|userCookie.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00068|104|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java#L104"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|rememberMe.setDomain(new java.net.URL(request.getRequestURL().toString()).getHost());|EP-M:URL:getHost()|NONE
00068|105|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java#L105"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|rememberMe.setPath(request.getRequestURI()); // i.e., set path to JUST this servlet|EP-M:HttpServletRequest:getRequestURI()|NONE
