"ID"|"Line"|"Link"|"Type"|"Message"
00031|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00031.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00032|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00032.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00033|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00033.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00034|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00034.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00035|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00036|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00036.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00036|61|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00036.java#L61"",""Github"")"|argument|incompatible argument for parameter arg0 of setHeader.
00037|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00037.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00038|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00038.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00039|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00039.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00040|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00040.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00041|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00041.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00041|49|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00041.java#L49"",""Github"")"|argument|incompatible argument for parameter arg0 of setHeader.
00042|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00042.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00043|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00043.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00044|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00044.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00044|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00044.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00045|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00045.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00046|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00046.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00047|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00047.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00047|70|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00047.java#L70"",""Github"")"|argument|incompatible argument for parameter arg0 of setHeader.
00048|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00048.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00048|70|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00048.java#L70"",""Github"")"|argument|incompatible argument for parameter arg0 of setHeader.
00049|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00049.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00049|70|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00049.java#L70"",""Github"")"|argument|incompatible argument for parameter arg0 of setHeader.
00050|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00051|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00051.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00052|42|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00052.java#L42"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00053|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00053|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00054|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00054.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00054|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00054.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00055|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00055|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00056|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00056|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00057|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00057|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00058|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00058.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00058|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00058.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00059|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00059.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00059|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00059.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00060|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00060|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00061|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00061|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00062|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00062.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00062|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00062.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00063|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00063|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00064|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00064|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00065|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00065.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00065|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00065.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00066|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00066|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00067|35|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L35"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
00067|51|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L51"",""Github"")"|argument|incompatible argument for parameter arg0 of setContentType.
