"ID"|"Line"|"Link"|"Type"|"Message"|"Fixes"
00023|79|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java#L79"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00042|81|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00042.java#L81"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00053|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00053|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00054|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00054.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00054|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00054.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00055|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00055|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00056|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00056|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00057|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00057|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00058|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00058.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00058|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00058.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00059|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00059.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00059|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00059.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00060|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00060|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00061|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00061|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00062|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00062.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00062|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00062.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00063|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00063|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00064|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00064|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00065|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00065.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00065|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00065.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00066|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00066|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00066|104|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L104"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00066|105|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java#L105"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00067|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00067|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00067|120|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L120"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00067|121|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java#L121"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00068|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00068|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00068|104|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java#L104"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00068|105|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java#L105"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00069|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00069.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00069|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00069.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00070|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00070.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00070|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00070.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00071|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00071.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00071|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00071.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00072|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00072.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00072|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00072.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00073|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00073.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00073|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00073.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00074|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00074.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00074|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00074.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00075|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00075.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00075|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00075.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00076|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00076.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00076|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00076.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00077|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00077.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00077|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00077.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00078|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00078.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00078|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00078.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00078|104|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00078.java#L104"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00078|105|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00078.java#L105"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00079|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00079.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00079|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00079.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00079|103|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00079.java#L103"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00079|104|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00079.java#L104"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00080|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00080.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00080|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00080.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00080|98|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00080.java#L98"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00080|99|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00080.java#L99"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00081|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00081.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00081|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00081.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00081|98|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00081.java#L98"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00082|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00082.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00082|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00082.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00082|99|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00082.java#L99"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00083|40|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00083.java#L40"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
00083|41|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00083.java#L41"",""Github"")"|argument|incompatible argument for parameter domain of setDomain.|M:URL:getHost()
00083|103|"=HYPERLINK(""https://github.com/nimakarimipour/BenchmarkJavaGradle/blob/af21eedf31cc9778b6daf9084c205cb8ccad018e/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00083.java#L103"",""Github"")"|argument|incompatible argument for parameter uri of setPath.|M:HttpServletRequest:getRequestURI()
